,EVENT_DATE,EVENT_TYPE,ADMIN1,FATALITIES
0,1997-01-05,Battle-No change of territory,Elgeyo-Marakwet,4
1,1997-02-04,Riots/Protests,Kisumu,0
2,1997-02-04,Riots/Protests,Mombasa,0
3,1997-02-04,Riots/Protests,Nairobi,0
4,1997-02-04,Riots/Protests,Nakuru,0
5,1997-02-05,Battle-No change of territory,Elgeyo-Marakwet,3
6,1997-02-10,Violence against civilians,Kisumu,0
7,1997-02-10,Battle-No change of territory,Migori,2
8,1997-03-05,Riots/Protests,Nairobi,1
9,1997-03-07,Riots/Protests,Nairobi,0
10,1997-03-07,Riots/Protests,Nairobi,0
11,1997-05-07,Riots/Protests,Nairobi,0
12,1997-05-07,Riots/Protests,Nairobi,0
13,1997-06-09,Violence against civilians,Mombasa,6
14,1997-06-12,Riots/Protests,Nairobi,0
15,1997-07-07,Violence against civilians,Nairobi,3
16,1997-07-07,Violence against civilians,Laikipia,7
17,1997-07-07,Violence against civilians,Kiambu,1
18,1997-07-07,Riots/Protests,Laikipia,0
19,1997-08-07,Riots/Protests,Nairobi,8
20,1997-08-08,Violence against civilians,Nairobi,1
21,1997-08-08,Battle-No change of territory,Kiambu,2
22,1997-08-08,Battle-No change of territory,Nairobi,1
23,1997-09-02,Violence against civilians,Nyeri,0
24,1997-09-06,Battle-No change of territory,Isiolo,1
25,1997-09-07,Riots/Protests,Nairobi,15
26,1997-10-08,Riots/Protests,Nakuru,0
27,1997-10-10,Riots/Protests,Nairobi,0
28,1997-10-10,Battle-No change of territory,Nairobi,0
29,1997-11-04,Battle-No change of territory,Marsabit,6
30,1997-11-07,Riots/Protests,Nakuru,0
31,1997-11-09,Violence against civilians,Kwale,1
32,1997-11-09,Violence against civilians,Kwale,0
33,1997-11-09,Battle-No change of territory,Kwale,2
34,1997-11-10,Riots/Protests,Kakamega,1
35,1997-12-04,Violence against civilians,Uasin Gishu,0
36,1997-12-05,Battle-No change of territory,Turkana,8
37,1997-12-09,Battle-No change of territory,Mombasa,1
38,1997-12-09,Battle-No change of territory,Mombasa,8
39,1997-12-09,Battle-No change of territory,Kwale,1
40,1998-01-01,Riots/Protests,Nairobi,0
41,1998-01-05,Violence against civilians,Kilifi,0
42,1998-01-05,Battle-No change of territory,Kilifi,0
43,1998-01-06,Riots/Protests,Nyeri,0
44,1998-01-07,Riots/Protests,Baringo,0
45,1998-01-07,Riots/Protests,Nyeri,0
46,1998-01-08,Riots/Protests,Bomet,0
47,1998-01-08,Riots/Protests,Kericho,0
48,1998-01-08,Riots/Protests,Narok,0
49,1998-01-08,Riots/Protests,Bomet,0
50,1998-01-12,Riots/Protests,Uasin Gishu,0
51,1998-02-07,Riots/Protests,Nyeri,0
52,1998-02-07,Battle-No change of territory,West Pokot,84
53,1998-02-10,Riots/Protests,Nakuru,0
54,1998-02-10,Riots/Protests,Mombasa,0
55,1998-02-10,Riots/Protests,Garissa,0
56,1998-02-10,Riots/Protests,Mombasa,0
57,1998-02-11,Riots/Protests,Nairobi,0
58,1998-03-02,Riots/Protests,Nairobi,0
59,1998-03-02,Violence against civilians,Nairobi,0
60,1998-03-08,Riots/Protests,Nairobi,0
61,1998-03-12,Violence against civilians,Trans Nzoia,0
62,1998-03-12,Battle-No change of territory,Trans Nzoia,0
63,1998-04-03,Riots/Protests,Nairobi,0
64,1998-04-03,Riots/Protests,Nairobi,0
65,1998-04-10,Strategic development,Migori,0
66,1998-05-02,Riots/Protests,Nairobi,0
67,1998-05-03,Riots/Protests,Nairobi,0
68,1998-05-03,Riots/Protests,Nairobi,0
69,1998-05-03,Battle-No change of territory,Kwale,0
70,1998-05-10,Riots/Protests,Mombasa,0
71,1998-05-10,Riots/Protests,Muranga,0
72,1998-05-10,Riots/Protests,Nakuru,0
73,1998-05-10,Riots/Protests,Samburu,0
74,1998-05-10,Riots/Protests,Garissa,0
75,1998-05-10,Riots/Protests,Kilifi,0
76,1998-05-10,Riots/Protests,Taita Taveta,0
77,1998-05-10,Riots/Protests,Kiambu,0
78,1998-05-10,Riots/Protests,Kilifi,0
79,1998-05-10,Riots/Protests,Siaya,0
80,1998-05-10,Riots/Protests,Tharaka-Nithi,0
81,1998-05-10,Riots/Protests,Nairobi,0
